DISTRICT NAME,UNIT NAME, YEAR,VEHICLE_INVOLVED,ACCIDENT CLASIFICATION,ACCIDENT SPOT,ACCIDENT LOCATION,MAIN CAUSE,HIT-RUN,SEVERITY,COLLISION TYPE,JUNCTION CONTROL,ROAD CHARACTER,ROAD-TYPE,SURFACE-TYPE,SURFACE CONDITION,ROAD CONDITION,WEATHER,LANE-TYPE,ROAD MARKING,SPOT CONDITIONS,SIDE WALK,ACCIDENT-ROAD,Latitude ,Longitude
Gomati Tripura,Amarpur,2016,2,Road Accident,Adhi para,Town,Human Error,no,grievous injury,Head on,Not Applicable,not applicable,main road,Bitumen(Tar),Dry,Not Applicable,Foggy,Null,Center White Line,Others,Null,Udaipur to karbook main road,23.125272,91.658968
Khowai Tripura,Khowai,2023,2,Road Accident,Barmura hills,Hills,Human Error,No,grievous injury,Head on,Not Applicable,Down,Highway,Bitumen(Tar),Dry,Good,Clear,DuelLane,Center White Line,Null,Not Applicable,National Highway 8,24.067179,91.603107
Shipahijala Tripura,Charilam,2024,2,Road Accident,Charilam Cooperative Bank,Town,Human Error,No,Fatal,Head on,Not Applicable,Other,Highway,Bitumen(Tar),Not Applicable,Good,Clear,DuelLane,Center White Line,Null,Asphalted,Agartala-Sabroom national Highway,23.638583,91.302976
Unakoti Tripura,Kailashahar,2024,1,Road Accident,Howrer Bazar,Village,Human Error,NO,grievous injury,Hit fixed person,Not Applicable,not applicable,Village Road,Bitumen(Tar),Dry,Good,Clear,Null,Null,Null,Not Applicable,Rangrum-Jagannathpur road,24.33199,92.00391
Unakoti Tripura,Kailashahar,2024,1,Road Accident,Manuvelly,Village,Human Error,NO,grievous injury,Dis balance,Not Applicable,Stright,Village Road,Bitumen(Tar),Smooth,Average,Clear,DuelLane,Null,Others,Asphalted,kailashahr 3 no word,24.1781,92.0273
Unakoti Tripura,Kailashahar,2024,1,Road Accident,Kailashahar,Town,Human Error,no,grievous injury,Dis balance,Not Applicable,Stright,main road,Bitumen(Tar),Smooth,Good,Clear,DuelLane,Center White Line,Null,Asphalted,Kailashahar main town,24.1781,92.0273
West Tripura,Agartala,2024,2,Road Accident,Surjamani nagar,Town,Human Error,no,Fatal,Head on,Not Applicable,Curve,main road,Bitumen(Tar),Smooth,Very good,Rainy,DuelLane,Center White Line,Null,Asphalted,Near Tripura University,23.755932,91.267641
Shipahijala Tripura,Bishalghar,2024,2,Road Accident,Bishalghar hospital,Town,Human Error,Yes,Damage Only,Hit Puchcart,Not Applicable,Other,main road,Bitumen(Tar),Dry,Very good,Clear,DuelLane,Other,Others,Asphalted,Near Bishalghar District Hospital,23.682933,91.279416
Khowai Tripura,Teliamura,2024,2,Road Accident,Khamting Bari,Village,Human Error,no,Fatal,Not Applicable,Not Applicable,not applicable,Village Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,Null,Null,Null,Not Applicable,Khamting Bari,23.814865,91.560702
Khowai Tripura,Teliamura,2024,2,Road Accident,Teliamura ,Village,Human Error,Yes,Null,Hit Puchcart,Not Applicable,Stright,Village Road,Bitumen(Tar),Not Applicable,Average,Clear,SingleLane,Null,Null,Asphalted,Chakmaghat,23.833383,91.680721
